MOTORES NORTE,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Total Energéticos,"$11,205,618.76 ","$10,608,170.82 ","$11,952,534.54 ","$11,061,050.05 ","$11,815,722.80 ","$12,366,205.10 ","$12,437,656.08 ","$11,014,340.46 ","$12,214,632.40 ","$9,588,874.62 ","$9,447,671.58 ","$5,329,649.54 ","$10,970,485.02 ","$10,574,563.55 ","$11,992,895.03 ","$11,118,709.16 ","$10,995,063.37 ","$8,931,101.14 ","$9,302,930.64 ","$11,065,184.09 ","$10,394,821.88 ","$10,452,330.57 ","$8,987,235.76 ","$5,703,155.55 ","$10,557,109.87 ","$10,848,967.23 ","$10,656,739.00 ","$11,049,945.02 ","$9,985,099.02 ","$9,362,861.30 ","$10,819,968.54 ","$12,748,845.39 ","$12,146,348.85 ","$12,553,940.35 ","$11,898,399.63 ","$6,692,488.64 ","$12,431,723.56 ","$10,698,109.66 ","$11,184,284 ","$11,785,908 ","$10,614,965 ","$11,971,635 ","$10,496,022 ","$11,004,368 ","$10,394,804 ","$11,840,097 ","$11,061,264 ","$8,770,505.30 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Totales,,,,,,,,,,,,Totales,,,,,,,,,,,,Totales,,,,,,,,,,,,Totales
,,,,,,,,,,,,"400,940",,,,,,,,,,,,"397,564",,,,,,,,,,,,"387,684",,,,,,,,,,,,"375,580"
,,,,,,,,,,,,"60,317.45",,,,,,,,,,,,"60,796.27",,,,,,,,,,,,"57,611.61",,,,,,,,,,,,"56,683.60"
,,,,,,,,,,,,$2.10 ,,,,,,,,,,,,$1.96 ,,,,,,,,,,,,$2.23 ,,,,,,,,,,,,$2.31 
,,,,,,,,,,,,"$127,274,829.47 ",,,,,,,,,,,,"$119,236,663.67 ",,,,,,,,,,,,"$128,082,512.11 ",,,,,,,,,,,,"$130,843,131.78 "
,,,,,,,,,,,,"1,602.36",,,,,,,,,,,,"1,384.08",,,,,,,,,,,,"1,009.39",,,,,,,,,,,,934.12
,,,,,,,,,,,,$620.27 ,,,,,,,,,,,,$331.22 ,,,,,,,,,,,,$325.46 ,,,,,,,,,,,,$383.01 
,,,,,,,,,,,,"$982,018.06 ",,,,,,,,,,,,"$437,009.27 ",,,,,,,,,,,,"$329,316.25 ",,,,,,,,,,,,"$356,650.30 "
,,,,,,,,,,,,"30,759.08",,,,,,,,,,,,"28,988.71",,,,,,,,,,,,"30,571.29",,,,,,,,,,,,"34,329.13"
,,,,,,,,,,,,$25.53 ,,,,,,,,,,,,$28.11 ,,,,,,,,,,,,$29.73 ,,,,,,,,,,,,$30.70 
,,,,,,,,,,,,"$785,279.22 ",,,,,,,,,,,,"$814,802.83 ",,,,,,,,,,,,"$908,884.49 ",,,,,,,,,,,,"$1,053,904.34 "
,,,,,,,,,,,,"$129,042,126.74 ",,,,,,,,,,,,"$120,488,475.77 ",,,,,,,,,,,,"$129,320,712.85 ",,,,,,,,,,,,"$132,253,686.42 "
