Year,Month,Volumen,ElectricidadMWh,ElectricidadTarifa,ElectricidadPesos,GasNaturalMWh,GasNaturalTarifa,GasNaturalPesos,AguaM3,AguaTarifa,AguaPesos
2024,Oct,1663.0648999999999,4475.465507227598,2.3496112832123104,10515604.25340947,6253.973384103157,420.0,2626668.821323326,4844.816851840338,29.73,144036.40500521325
2024,Nov,1638.9533000000001,4339.227290008237,2.37,10283968.677319523,6084.610499842974,420.0,2555536.409934049,4874.711624102931,29.73,144925.17658458013
2024,Dec,1365.3140999999998,3935.233765193168,2.46,9680675.062375192,5055.120819986674,420.0,2123150.744394403,5115.9850129511615,29.73,152098.23443503803
2025,Jan,540.2512999999999,2596.407161774441,2.51,6516981.976053847,2864.3415459948055,523.65,1499912.4505601798,4502.077264437278,30.7,138213.77201822444
2025,Feb,1497.5794999999998,4037.478729124778,2.52,10174446.397394441,5562.209466410496,409.22,2276167.3578445036,5346.800141114334,30.7,164146.76433221006
2025,Mar,1534.3986,4338.462163265201,2.45,10629232.299999742,5480.737867281837,410.22,2248308.2879163553,5529.436836729154,30.7,169753.710887585
2025,Apr,1408.3705,4051.04778944891,2.5,10127619.473622276,5197.196594387975,421.54,2190826.252398307,5142.723282115734,30.7,157881.60476095302
2025,May,1561.5866999999998,4300.200003691748,2.44,10492488.009007864,5101.02391725661,372.92,1902273.839223335,5456.69276930717,30.7,167520.46801773013
2025,Jun,1472.2966,4257.025623058529,2.39,10174291.239109885,5088.01832754253,377.94,1922965.6467114238,5670.817580988558,30.7,174094.09973634873
2025,Jul,1633.1307,4480.335002727823,2.09,9363900.15570115,5619.990300770962,341.73,1920519.2854824609,5726.94102273107,30.7,175817.08939784384
2025,Aug,1642.8994,4427.774271090217,2.12,9386881.45471126,5357.986009882714,330.2368439466047,1769404.389813729,4982.35924111923,30.7,152958.42870236037
2025,Sep,1344.824,4170.4716151145085,2.16,9008218.68864734,4883.614582219367,328.7,1605244.1131755058,4575.885484981111,30.7,140479.6843889201
2025,Oct,1720.2285,4567.440885055815,2.2,10048369.947122794,5880.284983520971,380.0,2234508.293737969,5451.365346288522,30.7,167356.91613105763
2025,Nov,1343.2138,4339.227290008237,2.2,9546300.038018122,6344.605113832244,340.0,2157165.7387029626,5182.038976312732,30.7,159088.5965728009
2025,Dec,1070.7739,3465.8828904525467,2.18,7555624.701186553,3943.272011232437,360.0,1419577.9240436773,4330.044866543946,30.7,132932.37740289915
